obsHistID,expMJD,filter,FWHMeff,fiveSigmaDepth
782200,60731.054561,u,0.884168,23.232187
785475,60736.049399,g,0.856845,24.528123
787962,60739.029926,r,1.059141,23.869801
796365,60753.00923,z,0.714816,22.147901
799046,60755.994133,y,0.671387,21.707758
879101,60870.389074,y,1.089342,21.341209
879117,60870.39626,y,1.065715,21.374085
888380,60881.3883,g,1.085361,24.382082
888403,60881.398785,g,1.060805,24.430105
889408,60882.38851,r,0.809491,24.367637
889458,60882.412927,r,0.771894,24.46114
896821,60890.401185,r,0.902604,24.304956
896845,60890.412005,r,0.889695,24.333163
898736,60893.39043,i,0.854462,23.355621
898766,60893.404107,i,0.838763,23.4765
898787,60893.413622,i,0.829889,23.593651
901603,60896.311758,y,0.97622,21.45137
903692,60898.358971,z,0.68389,22.674043
903729,60898.376331,z,0.663975,22.74062
903742,60898.383128,z,0.657528,22.763617
903765,60898.394617,z,0.648178,22.798997
906932,60902.346309,i,0.725109,23.445816
906980,60902.369223,i,0.697965,23.521781
911592,60907.350036,u,0.941986,23.363798
914646,60911.281687,u,1.188765,22.929965
916726,60913.348304,r,1.02743,24.175998
916788,60913.378703,r,0.998825,24.231186
918807,60931.383257,i,0.804158,23.446879
920424,60933.270926,r,0.932282,24.200488
924934,60938.229578,r,1.118334,24.004306
924974,60938.248127,r,1.074274,24.083453
927715,60941.245852,g,1.126115,24.386315
927749,60941.261517,g,1.097824,24.43916
928526,60942.202283,r,1.362716,23.751458
928549,60942.212802,r,1.324658,23.807464
929430,60943.198718,i,0.942693,23.490368
929467,60943.215441,i,0.901885,23.576044
932122,60946.210614,i,1.033754,23.385536
932167,60946.231678,i,0.989792,23.518737
932974,60947.198473,r,1.072126,23.944502
936458,60952.200482,y,0.95364,21.522086
936494,60952.216594,y,0.923832,21.567712
937329,60954.198307,y,0.991111,21.482744
937336,60954.201451,y,0.984757,21.492006
938155,60955.168969,y,1.017355,21.430044
943907,60962.128772,r,1.063669,23.964728
944853,60963.193088,r,0.851752,24.356172
944884,60963.207519,r,0.833771,24.397987
946375,60965.121808,r,0.992831,24.040452
947264,60966.139892,u,1.178234,22.975933
947284,60966.148225,u,1.152346,23.032442
949567,60971.113326,u,1.093863,22.997747
951272,60973.146562,i,0.678653,23.909665
951315,60973.166401,i,0.65423,23.980561
952002,60974.126403,g,0.945787,24.408159
952077,60974.164207,g,0.875104,24.661845
952767,60975.115667,r,0.954965,24.09681
955117,60978.117397,r,1.238467,23.63252
955484,60979.10925,i,0.927037,23.210828
955518,60979.124516,i,0.893373,23.28852
965402,61000.090406,i,0.937613,23.586653
965451,61000.113292,i,0.908365,23.647923
968196,61005.022643,z,1.253194,21.547744
968226,61005.036136,z,1.205234,21.596228
969018,61006.055418,r,0.874385,24.159777
972811,61012.201165,z,0.761293,22.498187
972852,61012.222309,z,0.782633,22.458552
975160,61016.025647,y,0.950597,21.376919
975170,61016.03012,y,0.941656,21.39056
976320,61017.252596,i,0.846283,23.176623
976357,61017.269612,i,0.888353,23.072541
976375,61017.277674,i,0.911907,23.017445
988528,61036.061924,r,0.920659,24.123022
989174,61037.043454,y,0.765011,21.646078
992262,61041.191737,z,1.07004,22.140646
992293,61041.207047,z,1.119768,22.064037
992909,61042.166391,y,1.119105,21.349516
994962,61045.126153,i,0.768891,23.288663
994993,61045.140446,i,0.786161,23.223367
998847,61056.133312,g,1.015581,24.460011
998877,61056.149773,g,1.057852,24.373915
1006662,61067.031379,z,0.961814,21.860531
1006698,61067.048105,z,0.975923,21.842959
1009715,61071.055571,y,0.771061,21.773034
1013669,61076.119199,i,1.334355,22.55889
1014261,61077.028439,z,1.001759,21.81355
1014292,61077.042453,z,1.020635,21.790928
1028670,61095.060843,r,1.136439,23.683834
1032144,61100.015961,y,1.274662,21.053205
1032212,61100.046422,y,1.386447,21.077186
1034735,61103.018333,y,1.007101,21.299153
1038999,61108.00783,y,0.771973,21.584574
1041603,61111.009834,z,0.97825,21.818023
1049266,61119.994308,z,1.357535,21.457597
1128100,61239.411528,g,1.444283,24.079875
1136080,61249.350908,y,1.092566,21.337194
1136128,61249.373554,y,1.025168,21.431847
1138145,61251.344893,y,1.233787,21.204463
1138154,61251.348951,y,1.218243,21.223544
1140240,61253.370893,y,0.897115,21.584367
1148195,61262.328373,g,1.035923,24.388376
1148232,61262.345271,g,0.992252,24.479456
1151374,61266.391726,u,0.896579,23.457981
1151383,61266.395774,u,0.892965,23.467412
1153284,61268.350347,r,0.958854,24.216694
1153315,61268.364975,r,0.936202,24.263594
1157702,61274.408218,i,0.939023,23.641384
1158507,61275.328602,i,0.819181,23.455088
1158534,61275.34086,i,0.802104,23.520176
1161449,61278.304629,y,0.682146,21.88345
1162429,61279.294546,y,0.747258,21.778122
1166723,61287.302281,i,1.124812,23.196024
1166758,61287.318568,i,1.097074,23.232713
1168170,61297.224957,u,1.008673,23.107904
1169096,61298.220877,u,0.846654,23.284486
1170830,61302.193594,r,1.082482,23.720575
1171853,61303.265163,r,1.094064,23.885528
1171888,61303.282468,r,1.068206,23.947076
1172963,61304.388057,z,0.715744,22.18076
1172992,61304.401256,z,0.724901,22.16541
1175308,61307.230816,y,0.873275,21.619486
1177037,61309.187145,y,1.039066,21.391791
1178286,61310.360158,z,0.923513,22.242992
1178324,61310.378474,z,0.936969,22.249109
1178334,61310.38328,z,0.941547,21.881713
1178857,61311.203496,y,0.793136,21.70998
1182359,61315.226288,r,0.901052,23.993081
1182409,61315.250086,r,0.87062,24.027462
1183929,61317.156793,r,1.170085,23.859109
1185856,61319.259643,i,0.672009,23.992689
1185894,61319.279161,i,0.664104,24.015545
1187370,61321.157525,u,1.143993,22.959906
1189943,61324.202932,r,0.617817,24.702282
1189973,61324.216481,r,0.605179,24.7428
1192098,61327.16279,r,0.918238,24.214253
1192128,61327.177235,r,0.888691,24.278701
1192987,61328.193045,r,0.898562,24.296991
1193022,61328.209524,r,0.876959,24.344683
1194149,61329.375455,z,0.910142,21.909829
